variant,fraction_bin,cumulative_fce,cumulative_true_progress,commitment_debt_after,fce_per_progress
full_ccpb,0.88,184.35450745535715,106.72768588392857,15.724181919285714,1.7273353762757626
full_ccpb,0.9,184.73057888392856,108.0337313625,13.29778700607143,1.7099342636243617
full_ccpb,0.92,185.18747959821425,109.51066378035715,14.513477205714285,1.6910451750127298
full_ccpb,0.94,185.18747959821425,111.77391601785713,14.5897052675,1.6568040755468252
full_ccpb,0.96,185.18747959821425,113.67355418214287,13.117886155357143,1.6291166483761235
full_ccpb,0.98,185.18747959821425,116.08876499821429,14.011293896071427,1.5952231001946042
full_ccpb,1.0,185.18747959821425,118.37064717678571,21.145766409642857,1.5644712943204415
no_actionability_downgrade,0.0,4.2513556517857145,0.0,30.333366709642856,4251355651.785714
no_actionability_downgrade,0.02,15.262687223214284,0.0,36.88040972928571,15262687223.214283
no_actionability_downgrade,0.04,24.7386104375,0.0,43.99003963678571,24738610437.5
no_actionability_downgrade,0.06,32.38741572321429,0.0,44.15678972642858,32387415723.214287
no_actionability_downgrade,0.08,39.41620439285714,0.11324000000000001,48.4192060425,348.07669015239435
no_actionability_downgrade,0.1,44.742817696428574,0.32171071428571424,51.493152546785716,139.07779787741873
no_actionability_downgrade,0.12,54.66440490178571,0.5653551785714286,53.55194514285714,96.69037619840118
no_actionability_downgrade,0.14,60.32847661607143,0.8241419642857143,57.19736850178572,73.20155899154857
no_actionability_downgrade,0.16,65.01987383035714,7.842129178571428,56.705523254285715,8.291099566176946
no_actionability_downgrade,0.18,65.23972740178571,10.168598750000001,60.88809751107143,6.415803101856655
no_actionability_downgrade,0.2,66.81552025892857,11.374183892857143,62.770497510714286,5.874313347517438
no_actionability_downgrade,0.22,67.96910597321428,13.055835892857143,64.33280714571428,5.206032500025542
no_actionability_downgrade,0.24,68.92178454464286,13.98195732142857,66.27307887142857,4.929337356724313
no_actionability_downgrade,0.26,68.92178454464286,15.611348857142858,68.314713255,4.414851347909519
no_actionability_downgrade,0.28,68.92178454464286,17.119437964285716,66.89312063928571,4.025937340257684
no_actionability_downgrade,0.3,68.92178454464286,19.248273678571426,70.06733065821429,3.5806735552275315
no_actionability_downgrade,0.32,68.92178454464286,20.72611882142857,71.65072327535714,3.3253589414620732
no_actionability_downgrade,0.34,140.15033091964287,38.713058499999995,69.10905740035714,3.6202340075931456
no_actionability_downgrade,0.36,145.34152477678572,38.713058499999995,71.02951341035714,3.7543281365068517
no_actionability_downgrade,0.38,150.9970394375,38.713058499999995,72.82480771571429,3.9004161719100554
no_actionability_downgrade,0.4,157.10609025,38.713058499999995,71.77657546071428,4.058219534630672
no_actionability_downgrade,0.42,161.450333,39.07635546428571,74.9685819425,4.131663024397437
no_actionability_downgrade,0.44,165.89672188392856,39.595482964285715,75.65741754035714,4.189789073505276
no_actionability_downgrade,0.46,170.22721144642858,40.198210464285715,76.89911111035714,4.234696258373684
