scope,stress_axis,stress_bin,rows,mean_delay,mean_packet_capacity,mean_verifier_capacity,mean_resource_utilization,mean_commitment_debt,mean_verifier_queue_length,mean_fce_increment,mean_progress_increment,send_actionable_ratio,send_informational_only_ratio,verify_first_ratio,defer_ratio,reject_ratio,protective_ratio
all_policy_events,commitment_debt,debt_high_ge_20,293002,5.209428604582904,13.984839693927004,4.766435041399035,0.5756551491093237,150.64889040015794,2.714756213268169,0.5317857905053095,0.2774764437936293,0.46924253076770805,0.29182735954020794,0.07540562863052129,0.07268551067910799,0.09083897038245473,0.238930109692084
all_pg_cpb_events,feedback_delay,delay_low_0_3,20064,2.574162679425837,15.37799043062201,6.688995215311005,0.49043062200955867,13.695734306220105,1.3392020534290272,0.43538263755980794,0.36076598596491416,0.46725478468899523,0.3505283094098884,0.04645135566188198,0.006080542264752791,0.12968500797448165,0.18221690590111642
all_pg_cpb_events,feedback_delay,delay_mid_4_6,18624,5.077319587628866,14.381443298969073,4.260309278350515,0.617835051546479,38.39270848303264,1.2984187070446735,0.40694107126288337,0.20446372036619295,0.23340850515463918,0.4483462199312715,0.08424613402061856,0.18873496563573883,0.04526417525773196,0.3182452749140893
all_pg_cpb_events,feedback_delay,delay_high_7_plus,16608,7.6531791907514455,11.907514450867051,4.205202312138728,0.5708670520233279,30.26496165378137,2.135311295761079,0.5142092232207375,0.11118118597061685,0.279985549132948,0.37349470134874757,0.23049132947976878,0.029624277456647398,0.08640414258188825,0.34651974951830444
all_pg_cpb_events,verifier_capacity,verifier_scarce_le_2p5,13824,6.166666666666667,16.0,2.5,0.680000000000133,57.880343774016445,2.2901294849537037,0.2261121412037036,0.15784580479600638,0.14286747685185186,0.3851273148148148,0.19639756944444445,0.2740162037037037,0.001591435185185185,0.4720052083333333
all_pg_cpb_events,verifier_capacity,verifier_mid_le_5,13824,7.534722222222222,10.0,5.0,0.5200000000001782,19.60452542303231,1.232421875,0.43466527048972814,0.2217826497106482,0.32320601851851855,0.41587094907407407,0.10821759259259259,0.013527199074074073,0.13917824074074073,0.2609230324074074
all_pg_cpb_events,verifier_capacity,verifier_ample_gt_5,27648,3.0347222222222223,15.0,6.5,0.5150000000000827,15.23823304665802,1.3678747106481481,0.5685687062789396,0.27650659910301,0.4314597800925926,0.3802445023148148,0.07660590277777778,0.005570023148148148,0.10611979166666667,0.1882957175925926
all_pg_cpb_events,resource_utilization,resource_low_lt_0p55,27648,4.958333333333333,13.0,6.0,0.48500000000024945,15.439154795211218,1.3793312355324074,0.5332873965295883,0.25278274231770764,0.43080873842592593,0.3555772569444444,0.08781828703703703,0.007052951388888889,0.1187427662037037,0.21361400462962962
all_pg_cpb_events,resource_utilization,resource_mid_lt_0p65,13824,3.6875,14.0,6.0,0.5799999999999388,19.202681925926004,1.2095088252314814,0.5052278899884219,0.26923036328125177,0.32450810185185186,0.4652054398148148,0.08579282407407407,0.010561342592592593,0.11393229166666667,0.21028645833333334
all_pg_cpb_events,resource_utilization,resource_high_ge_0p65,13824,6.166666666666667,16.0,2.5,0.680000000000133,57.880343774016445,2.2901294849537037,0.2261121412037036,0.15784580479600638,0.14286747685185186,0.3851273148148148,0.19639756944444445,0.2740162037037037,0.001591435185185185,0.4720052083333333
